Obsluha kiosku;Noční;majitel;Kiosek;SO;175;1225;ANO
Obsluha kiosku;Noční;majitel;Kiosek;PÁ;187,5;1312,5;ANO
Obsluha kiosku;Noční;majitel;Kiosek;ST;162,5;1137,5;ANO
Obsluha kiosku;Noční;majitel;Kiosek;ÚT;162,5;1137,5;ANO
Obsluha kiosku;Noční;majitel;Kiosek;PO;162,5;1137,5;ANO
Obsluha kiosku;Noční;majitel;Kiosek;NE;175;1225;ANO
Obsluha kiosku;Odpolední;majitel;Kiosek;PO;162,5;1137,5;ANO
Obsluha kiosku;Odpolední;majitel;Kiosek;ÚT;162,5;1137,5;ANO
Obsluha kiosku;Odpolední;majitel;Kiosek;ST;162,5;1137,5;ANO
Obsluha kiosku;Odpolední;majitel;Kiosek;PÁ;187,5;1312,5;ANO
Obsluha kiosku;Odpolední;majitel;Kiosek;SO;175;1225;ANO
Obsluha kiosku;Odpolední;majitel;Kiosek;NE;175;1225;ANO
Obsluha kiosku;Ranní;majitel;Kiosek;SO;162,5;1137,5;ANO
Obsluha kiosku;Ranní;majitel;Kiosek;NE;162,5;1137,5;ANO
Obsluha kiosku;Ranní;majitel;Kiosek;ST;150;1050;ANO
Obsluha kiosku;Ranní;majitel;Kiosek;PÁ;175;1225;ANO
Obsluha kiosku;Ranní;majitel;Kiosek;ÚT;150;1050;ANO
Obsluha kiosku;Ranní;majitel;Kiosek;PO;150;1050;ANO
Obsluha občerstvení;Odpolední;jana;Občerstvení;SO;175;1225;ANO
Obsluha občerstvení;Odpolední;jana;Občerstvení;NE;175;1225;ANO
Obsluha občerstvení;Odpolední;jana;Občerstvení;PÁ;187,5;1312,5;ANO
Úklid;Ranní;monika;Veřejné prostory;SO;212,5;1487,5;ANO
Úklid;Ranní;monika;Veřejné prostory;NE;212,5;1487,5;ANO
Úklid;Ranní;monika;Veřejné prostory;PÁ;225;1575;ANO
Úklid;Ranní;monika;Veřejné prostory;ST;200;1400;ANO
Úklid;Ranní;monika;Veřejné prostory;ÚT;200;1400;ANO
Úklid;Ranní;monika;Veřejné prostory;PO;200;1400;ANO
Uvaděč;Odpolední;karel;Velký sál;PÁ;137,5;962,5;ANO
Uvaděč;Odpolední;karel;Velký sál;ÚT;112,5;787,5;ANO
Uvaděč;Odpolední;karel;Velký sál;PO;112,5;787,5;ANO
Uvaděč;Odpolední;karel;Velký sál;NE;125;875;ANO
Uvaděč;Odpolední;karel;Velký sál;SO;125;875;ANO
Uvaděč;Odpolední;petr;Velký sál;SO;125;875;ANO
Uvaděč;Odpolední;petr;Velký sál;NE;125;875;ANO
Uvaděč;Odpolední;petr;Velký sál;PO;112,5;787,5;ANO
Uvaděč;Odpolední;petr;Velký sál;ÚT;112,5;787,5;ANO
Uvaděč;Odpolední;petr;Velký sál;PÁ;137,5;962,5;ANO
Uvaděč;Odpolední;petr;Venkovní zátiší;ST;112,5;787,5;ANO
